SYMBOL,CompanyName,compId,compFormat,linkId
NCLRESFINL,NCl Res. & Finl.,5621,ncl-res-finl,ncl-res-finl-5621
MEWARPOLYTEX,Mewar Polytex,5622,mewar-polytex,mewar-polytex-5622
SHAMROCKINDL,Shamrock Indl.,5636,shamrock-indl,shamrock-indl-5636
SYNDIBANK,Syndicate Bank,5638,syndicate-bank,syndicate-bank-5638
DOLPHINHOTELS,Dolphin Hotels,5643,dolphin-hotels,dolphin-hotels-5643
EMEDCOMTECHNO,Emed.com Techno,5653,emed-com-techno,emed-com-techno-5653
BANKINDIA,Bank of India,5654,bank-of-india,bank-of-india-5654
KAMRONLABS,Kamron Labs.,5655,kamron-labs,kamron-labs-5655
HCLTECH,HCL Technologies,5656,hcl-technologies,hcl-technologies-5656
KARNAVATISPIN,Karnavati Spin.,5663,karnavati-spin,karnavati-spin-5663
DIANATEA,Diana Tea,5664,diana-tea,diana-tea-5664
ALBK,Allahabad Bank,5675,allahabad-bank,allahabad-bank-5675
SCANORGANICS,Scan Organics,5678,scan-organics,scan-organics-5678
PITTSBURGHIRON,Pittsburgh Iron,5679,pittsburgh-iron,pittsburgh-iron-5679
ADITYAINFOSOFT,Aditya Info-Soft,5682,aditya-info-soft,aditya-info-soft-5682
ZENLABSETHICA,Zenlabs Ethica,5683,zenlabs-ethica,zenlabs-ethica-5683
TRANSASIACORPO,Trans Asia Corpo,5684,trans-asia-corpo,trans-asia-corpo-5684
DHANASHREEELECT,Dhanashree Elect,5685,dhanashree-elect,dhanashree-elect-5685
CORALNEWSPRINT,Coral Newsprint,5686,coral-newsprint,coral-newsprint-5686
GCCLCONST,GCCL Const.,5687,gccl-const,gccl-const-5687
TULIPSTARHOT,Tulip Star Hot.,5689,tulip-star-hot,tulip-star-hot-5689
KAPASHICOMMERC,Kapashi Commerc.,5690,kapashi-commerc,kapashi-commerc-5690
SHKRISHNAPAP,Sh. Krishna Pap.,5696,sh-krishna-pap,sh-krishna-pap-5696
MADRASFERT,Madras Fert.,5704,madras-fert,madras-fert-5704
BLOOMDEKOR,Bloom Dekor,5710,bloom-dekor,bloom-dekor-5710
BEMCOHYDRAULICS,Bemco Hydraulics,5712,bemco-hydraulics,bemco-hydraulics-5712
BARODAELECTRIC,Baroda Electric,5713,baroda-electric,baroda-electric-5713
BOMBAYPOTTERIES,Bombay Potteries,5716,bombay-potteries,bombay-potteries-5716
HIMATSINGAUTO,Himatsing. Auto,5722,himatsing-auto,himatsing-auto-5722
AEONIANINVEST,Aeonian Invest.,5726,aeonian-invest,aeonian-invest-5726
ALFAICAI,Alfa Ica (I),5730,alfa-ica-i,alfa-ica-i-5730
APTANNERIES,AP Tanneries,5731,ap-tanneries,ap-tanneries-5731
JAINEXAAMCOL,Jainex Aamcol,5733,jainex-aamcol,jainex-aamcol-5733
GAEKWARMILLS,Gaekwar Mills,5741,gaekwar-mills,gaekwar-mills-5741
ROSSELLIND,Rossell India,5745,rossell-india,rossell-india-5745
ROXYEXPORTS,Roxy Exports,5746,roxy-exports,roxy-exports-5746
GOTHIPLASCON,Gothi Plascon,5749,gothi-plascon,gothi-plascon-5749
SANDURLAMINATES,Sandur Laminates,5753,sandur-laminates,sandur-laminates-5753
SHREEJIDYECHEM,Shreeji Dyechem,5756,shreeji-dyechem,shreeji-dyechem-5756
SMRUTHIORGANIC,Smruthi Organic,5758,smruthi-organic,smruthi-organic-5758
BOSTONBIO,Boston Bio,5759,boston-bio,boston-bio-5759
MEGAFININDIA,Mega Fin (India),5761,mega-fin-india,mega-fin-india-5761
COCHINSHIP,Cochin Shipyard,5762,cochin-shipyard,cochin-shipyard-5762
COASTALCORPORAT,Coastal Corporat,5768,coastal-corporat,coastal-corporat-5768
CENTRALPROVINCE,Central Province,5771,central-province,central-province-5771
JKPAPER,JK Paper,5772,jk-paper,jk-paper-5772
ARTEFACTPROJECT,Artefact Project,5779,artefact-project,artefact-project-5779
CEENIKEXPO,Ceenik Exports,5782,ceenik-exports,ceenik-exports-5782
KHEMSONSGLOBAL,Khemsons Global,5784,khemsons-global,khemsons-global-5784
